sample_id,true_algo,ranked_list,candidate_set,candidate_size,rank1,rank2,rank3,rank4,rank5,top1_correct,top2_correct,top3_correct,top4_correct,top5_correct,candidate_correct,true_rank
S-UNIWARD__TEST__STEGO__6319.pgm,S-UNIWARD,"S-UNIWARD,HUGO,HILL,WOW,MiPOD","S-UNIWARD,HUGO",2,S-UNIWARD,HUGO,HILL,WOW,MiPOD,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__4352.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__5366.pgm,S-UNIWARD,"MiPOD,WOW,S-UNIWARD,HUGO,HILL","MiPOD,WOW",2,MiPOD,WOW,S-UNIWARD,HUGO,HILL,0,0,1,1,1,0,3
S-UNIWARD__TEST__STEGO__3860.pgm,S-UNIWARD,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__2480.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,HUGO,HILL,WOW",S-UNIWARD,1,S-UNIWARD,MiPOD,HUGO,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__5170.pgm,S-UNIWARD,"WOW,MiPOD,HILL,S-UNIWARD,HUGO","WOW,MiPOD,HILL,S-UNIWARD",4,WOW,MiPOD,HILL,S-UNIWARD,HUGO,0,0,0,1,1,1,4
S-UNIWARD__TEST__STEGO__8734.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__5075.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW","S-UNIWARD,HUGO,MiPOD,HILL",4,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__8138.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,HILL,HUGO,WOW","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,HILL,HUGO,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__4189.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__3822.pgm,S-UNIWARD,"S-UNIWARD,HILL,HUGO,MiPOD,WOW","S-UNIWARD,HILL,HUGO,MiPOD",4,S-UNIWARD,HILL,HUGO,MiPOD,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__3728.pgm,S-UNIWARD,"HUGO,MiPOD,S-UNIWARD,HILL,WOW","HUGO,MiPOD,S-UNIWARD",3,HUGO,MiPOD,S-UNIWARD,HILL,WOW,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__890.pgm,S-UNIWARD,"S-UNIWARD,HILL,HUGO,MiPOD,WOW","S-UNIWARD,HILL,HUGO,MiPOD,WOW",5,S-UNIWARD,HILL,HUGO,MiPOD,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__2760.pgm,S-UNIWARD,"S-UNIWARD,HILL,WOW,MiPOD,HUGO","S-UNIWARD,HILL,WOW",3,S-UNIWARD,HILL,WOW,MiPOD,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__5650.pgm,S-UNIWARD,"WOW,MiPOD,HILL,S-UNIWARD,HUGO","WOW,MiPOD,HILL,S-UNIWARD",4,WOW,MiPOD,HILL,S-UNIWARD,HUGO,0,0,0,1,1,1,4
S-UNIWARD__TEST__STEGO__3838.pgm,S-UNIWARD,"S-UNIWARD,HILL,MiPOD,WOW,HUGO","S-UNIWARD,HILL,MiPOD,WOW,HUGO",5,S-UNIWARD,HILL,MiPOD,WOW,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__2777.pgm,S-UNIWARD,"WOW,MiPOD,S-UNIWARD,HUGO,HILL","WOW,MiPOD,S-UNIWARD,HUGO,HILL",5,WOW,MiPOD,S-UNIWARD,HUGO,HILL,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__4398.pgm,S-UNIWARD,"S-UNIWARD,HILL,HUGO,MiPOD,WOW","S-UNIWARD,HILL,HUGO,MiPOD,WOW",5,S-UNIWARD,HILL,HUGO,MiPOD,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__4704.pgm,S-UNIWARD,"S-UNIWARD,HUGO,HILL,MiPOD,WOW","S-UNIWARD,HUGO",2,S-UNIWARD,HUGO,HILL,MiPOD,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__5519.pgm,S-UNIWARD,"HUGO,S-UNIWARD,MiPOD,HILL,WOW","HUGO,S-UNIWARD,MiPOD",3,HUGO,S-UNIWARD,MiPOD,HILL,WOW,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__4993.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW","S-UNIWARD,HUGO,MiPOD,HILL",4,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__769.pgm,S-UNIWARD,"HUGO,MiPOD,WOW,S-UNIWARD,HILL","HUGO,MiPOD,WOW,S-UNIWARD,HILL",5,HUGO,MiPOD,WOW,S-UNIWARD,HILL,0,0,0,1,1,1,4
S-UNIWARD__TEST__STEGO__6186.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,HILL,HUGO,WOW","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,HILL,HUGO,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__5876.pgm,S-UNIWARD,"S-UNIWARD,HILL,MiPOD,WOW,HUGO","S-UNIWARD,HILL,MiPOD",3,S-UNIWARD,HILL,MiPOD,WOW,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__9113.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW",,0,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,0,1
S-UNIWARD__TEST__STEGO__7272.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,WOW,HILL,HUGO","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,WOW,HILL,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__6067.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW",S-UNIWARD,1,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__8827.pgm,S-UNIWARD,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__916.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD,HUGO",5,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__7977.pgm,S-UNIWARD,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__644.pgm,S-UNIWARD,"HUGO,MiPOD,S-UNIWARD,HILL,WOW","HUGO,MiPOD,S-UNIWARD,HILL",4,HUGO,MiPOD,S-UNIWARD,HILL,WOW,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__5512.pgm,S-UNIWARD,"WOW,MiPOD,HILL,S-UNIWARD,HUGO","WOW,MiPOD,HILL,S-UNIWARD",4,WOW,MiPOD,HILL,S-UNIWARD,HUGO,0,0,0,1,1,1,4
S-UNIWARD__TEST__STEGO__4586.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__6961.pgm,S-UNIWARD,"MiPOD,S-UNIWARD,HILL,HUGO,WOW","MiPOD,S-UNIWARD,HILL",3,MiPOD,S-UNIWARD,HILL,HUGO,WOW,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__4265.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__5336.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__237.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW","S-UNIWARD,HUGO,MiPOD,HILL,WOW",5,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__1251.pgm,S-UNIWARD,"S-UNIWARD,HILL,MiPOD,HUGO,WOW","S-UNIWARD,HILL,MiPOD",3,S-UNIWARD,HILL,MiPOD,HUGO,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__7606.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,WOW,HILL,HUGO","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,WOW,HILL,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__8235.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,HILL,HUGO,WOW","S-UNIWARD,MiPOD,HILL",3,S-UNIWARD,MiPOD,HILL,HUGO,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__8018.pgm,S-UNIWARD,"WOW,MiPOD,HILL,S-UNIWARD,HUGO","WOW,MiPOD,HILL,S-UNIWARD",4,WOW,MiPOD,HILL,S-UNIWARD,HUGO,0,0,0,1,1,1,4
S-UNIWARD__TEST__STEGO__4541.pgm,S-UNIWARD,"S-UNIWARD,HILL,MiPOD,HUGO,WOW","S-UNIWARD,HILL,MiPOD",3,S-UNIWARD,HILL,MiPOD,HUGO,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__9185.pgm,S-UNIWARD,"MiPOD,S-UNIWARD,HUGO,HILL,WOW",,0,MiPOD,S-UNIWARD,HUGO,HILL,WOW,0,1,1,1,1,0,2
S-UNIWARD__TEST__STEGO__9683.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,WOW,HILL,HUGO","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,WOW,HILL,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__9649.pgm,S-UNIWARD,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__4557.pgm,S-UNIWARD,"S-UNIWARD,HILL,MiPOD,HUGO,WOW","S-UNIWARD,HILL,MiPOD",3,S-UNIWARD,HILL,MiPOD,HUGO,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__226.pgm,S-UNIWARD,"S-UNIWARD,HILL,WOW,HUGO,MiPOD",S-UNIWARD,1,S-UNIWARD,HILL,WOW,HUGO,MiPOD,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__3815.pgm,S-UNIWARD,"S-UNIWARD,HILL,MiPOD,WOW,HUGO","S-UNIWARD,HILL,MiPOD,WOW",4,S-UNIWARD,HILL,MiPOD,WOW,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__8616.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW",S-UNIWARD,1,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__1147.pgm,S-UNIWARD,"HILL,MiPOD,S-UNIWARD,HUGO,WOW","HILL,MiPOD,S-UNIWARD,HUGO",4,HILL,MiPOD,S-UNIWARD,HUGO,WOW,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__9194.pgm,S-UNIWARD,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__5071.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,WOW,HILL,HUGO",S-UNIWARD,1,S-UNIWARD,MiPOD,WOW,HILL,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__5120.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__6016.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD,HUGO",5,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__4807.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__623.pgm,S-UNIWARD,"WOW,HILL,HUGO,MiPOD,S-UNIWARD","WOW,HILL,HUGO,MiPOD,S-UNIWARD",5,WOW,HILL,HUGO,MiPOD,S-UNIWARD,0,0,0,0,1,1,5
S-UNIWARD__TEST__STEGO__4125.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__8188.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__368.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__5791.pgm,S-UNIWARD,"MiPOD,HILL,S-UNIWARD,WOW,HUGO","MiPOD,HILL,S-UNIWARD",3,MiPOD,HILL,S-UNIWARD,WOW,HUGO,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__8287.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,WOW,HILL,HUGO","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,WOW,HILL,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__1420.pgm,S-UNIWARD,"MiPOD,HUGO,S-UNIWARD,HILL,WOW",,0,MiPOD,HUGO,S-UNIWARD,HILL,WOW,0,0,1,1,1,0,3
S-UNIWARD__TEST__STEGO__5959.pgm,S-UNIWARD,"HUGO,S-UNIWARD,MiPOD,HILL,WOW","HUGO,S-UNIWARD,MiPOD",3,HUGO,S-UNIWARD,MiPOD,HILL,WOW,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__9766.pgm,S-UNIWARD,"HUGO,MiPOD,S-UNIWARD,HILL,WOW","HUGO,MiPOD,S-UNIWARD",3,HUGO,MiPOD,S-UNIWARD,HILL,WOW,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__7850.pgm,S-UNIWARD,"S-UNIWARD,HILL,WOW,MiPOD,HUGO",S-UNIWARD,1,S-UNIWARD,HILL,WOW,MiPOD,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__4594.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,HILL,HUGO,WOW","S-UNIWARD,MiPOD,HILL",3,S-UNIWARD,MiPOD,HILL,HUGO,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__7645.pgm,S-UNIWARD,"HILL,S-UNIWARD,WOW,MiPOD,HUGO","HILL,S-UNIWARD,WOW,MiPOD",4,HILL,S-UNIWARD,WOW,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__511.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,WOW,HILL,HUGO","S-UNIWARD,MiPOD,WOW",3,S-UNIWARD,MiPOD,WOW,HILL,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__2275.pgm,S-UNIWARD,"MiPOD,HILL,S-UNIWARD,WOW,HUGO",MiPOD,1,MiPOD,HILL,S-UNIWARD,WOW,HUGO,0,0,1,1,1,0,3
S-UNIWARD__TEST__STEGO__4618.pgm,S-UNIWARD,"S-UNIWARD,HILL,MiPOD,HUGO,WOW","S-UNIWARD,HILL,MiPOD",3,S-UNIWARD,HILL,MiPOD,HUGO,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__5750.pgm,S-UNIWARD,"WOW,MiPOD,HUGO,S-UNIWARD,HILL","WOW,MiPOD,HUGO,S-UNIWARD,HILL",5,WOW,MiPOD,HUGO,S-UNIWARD,HILL,0,0,0,1,1,1,4
S-UNIWARD__TEST__STEGO__4956.pgm,S-UNIWARD,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__7420.pgm,S-UNIWARD,"S-UNIWARD,HILL,HUGO,MiPOD,WOW","S-UNIWARD,HILL,HUGO,MiPOD,WOW",5,S-UNIWARD,HILL,HUGO,MiPOD,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__7853.pgm,S-UNIWARD,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__8127.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__8934.pgm,S-UNIWARD,"HUGO,MiPOD,S-UNIWARD,HILL,WOW","HUGO,MiPOD,S-UNIWARD,HILL",4,HUGO,MiPOD,S-UNIWARD,HILL,WOW,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__4981.pgm,S-UNIWARD,"WOW,MiPOD,S-UNIWARD,HUGO,HILL","WOW,MiPOD,S-UNIWARD",3,WOW,MiPOD,S-UNIWARD,HUGO,HILL,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__8692.pgm,S-UNIWARD,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__3595.pgm,S-UNIWARD,"HUGO,MiPOD,S-UNIWARD,WOW,HILL","HUGO,MiPOD,S-UNIWARD,WOW,HILL",5,HUGO,MiPOD,S-UNIWARD,WOW,HILL,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__742.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,HUGO,WOW,HILL","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,HUGO,WOW,HILL,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__3253.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW",S-UNIWARD,1,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__7778.pgm,S-UNIWARD,"MiPOD,HILL,S-UNIWARD,HUGO,WOW","MiPOD,HILL,S-UNIWARD",3,MiPOD,HILL,S-UNIWARD,HUGO,WOW,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__6339.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD,HUGO",5,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__7390.pgm,S-UNIWARD,"WOW,MiPOD,HILL,S-UNIWARD,HUGO","WOW,MiPOD,HILL,S-UNIWARD",4,WOW,MiPOD,HILL,S-UNIWARD,HUGO,0,0,0,1,1,1,4
S-UNIWARD__TEST__STEGO__2554.pgm,S-UNIWARD,"MiPOD,HILL,S-UNIWARD,WOW,HUGO","MiPOD,HILL,S-UNIWARD",3,MiPOD,HILL,S-UNIWARD,WOW,HUGO,0,0,1,1,1,1,3
S-UNIWARD__TEST__STEGO__8226.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__7192.pgm,S-UNIWARD,"HUGO,S-UNIWARD,MiPOD,HILL,WOW","HUGO,S-UNIWARD",2,HUGO,S-UNIWARD,MiPOD,HILL,WOW,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__1184.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD,HUGO",5,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__6029.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__8459.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW",S-UNIWARD,1,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__2013.pgm,S-UNIWARD,"S-UNIWARD,HUGO,WOW,MiPOD,HILL","S-UNIWARD,HUGO",2,S-UNIWARD,HUGO,WOW,MiPOD,HILL,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__6462.pgm,S-UNIWARD,"MiPOD,S-UNIWARD,HUGO,HILL,WOW","MiPOD,S-UNIWARD,HUGO,HILL,WOW",5,MiPOD,S-UNIWARD,HUGO,HILL,WOW,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__7314.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,WOW,HILL,HUGO","S-UNIWARD,MiPOD,WOW",3,S-UNIWARD,MiPOD,WOW,HILL,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__8854.pgm,S-UNIWARD,"S-UNIWARD,HUGO,WOW,MiPOD,HILL","S-UNIWARD,HUGO,WOW,MiPOD,HILL",5,S-UNIWARD,HUGO,WOW,MiPOD,HILL,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__6117.pgm,S-UNIWARD,"MiPOD,S-UNIWARD,WOW,HUGO,HILL","MiPOD,S-UNIWARD,WOW",3,MiPOD,S-UNIWARD,WOW,HUGO,HILL,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__1602.pgm,S-UNIWARD,"HUGO,S-UNIWARD,MiPOD,WOW,HILL","HUGO,S-UNIWARD,MiPOD",3,HUGO,S-UNIWARD,MiPOD,WOW,HILL,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__9343.pgm,S-UNIWARD,"HUGO,MiPOD,HILL,S-UNIWARD,WOW","HUGO,MiPOD,HILL",3,HUGO,MiPOD,HILL,S-UNIWARD,WOW,0,0,0,1,1,0,4
S-UNIWARD__TEST__STEGO__2783.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW","S-UNIWARD,HUGO,MiPOD,HILL",4,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__5445.pgm,S-UNIWARD,"HUGO,MiPOD,S-UNIWARD,HILL,WOW",HUGO,1,HUGO,MiPOD,S-UNIWARD,HILL,WOW,0,0,1,1,1,0,3
S-UNIWARD__TEST__STEGO__250.pgm,S-UNIWARD,"S-UNIWARD,HILL,MiPOD,WOW,HUGO","S-UNIWARD,HILL,MiPOD",3,S-UNIWARD,HILL,MiPOD,WOW,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__4579.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW","S-UNIWARD,HUGO,MiPOD,HILL",4,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__2118.pgm,S-UNIWARD,"S-UNIWARD,HILL,HUGO,MiPOD,WOW","S-UNIWARD,HILL,HUGO,MiPOD",4,S-UNIWARD,HILL,HUGO,MiPOD,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__3922.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__6847.pgm,S-UNIWARD,"S-UNIWARD,HILL,HUGO,MiPOD,WOW","S-UNIWARD,HILL,HUGO,MiPOD",4,S-UNIWARD,HILL,HUGO,MiPOD,WOW,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__6532.pgm,S-UNIWARD,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
S-UNIWARD__TEST__STEGO__5599.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,WOW,HILL,HUGO","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,WOW,HILL,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__1376.pgm,S-UNIWARD,"S-UNIWARD,MiPOD,WOW,HILL,HUGO","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,WOW,HILL,HUGO,1,1,1,1,1,1,1
S-UNIWARD__TEST__STEGO__9637.pgm,S-UNIWARD,"S-UNIWARD,HUGO,MiPOD,HILL,WOW",,0,S-UNIWARD,HUGO,MiPOD,HILL,WOW,1,1,1,1,1,0,1
S-UNIWARD__TEST__STEGO__5585.pgm,S-UNIWARD,"S-UNIWARD,HILL,MiPOD,WOW,HUGO","S-UNIWARD,HILL,MiPOD",3,S-UNIWARD,HILL,MiPOD,WOW,HUGO,1,1,1,1,1,1,1
